,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,WL
247,240,38,83,0.45799999999999996,9,33,0.273,10,13,0.769,6,25,31,17,14,4,16,21,95,-1
248,240,35,97,0.361,8,29,0.276,17,21,0.81,15,42,57,17,4,3,14,25,95,-1
249,240,34,83,0.41,10,29,0.345,17,27,0.63,5,36,41,21,6,9,16,25,95,-1
250,240,36,85,0.424,10,30,0.33299999999999996,13,16,0.813,10,34,44,21,7,4,9,14,95,1
251,240,36,92,0.391,7,39,0.179,16,23,0.696,15,39,54,18,10,3,19,21,95,-1
252,240,33,79,0.418,11,28,0.39299999999999996,18,23,0.7829999999999999,3,32,35,19,7,7,15,24,95,-1
253,240,34,88,0.386,5,22,0.22699999999999998,22,25,0.88,11,33,44,14,6,0,12,23,95,-1
254,240,30,77,0.39,7,22,0.318,28,35,0.8,9,27,36,18,5,1,13,21,95,-1
255,240,36,86,0.419,10,31,0.32299999999999995,13,14,0.929,9,31,40,24,4,3,17,18,95,-1
256,240,36,83,0.434,7,29,0.24100000000000002,16,24,0.667,7,35,42,24,7,10,17,18,95,-1
257,240,35,77,0.455,4,21,0.19,21,31,0.677,9,33,42,22,12,6,24,24,95,-1
258,240,35,84,0.41700000000000004,7,27,0.259,18,26,0.6920000000000001,7,37,44,10,13,9,12,23,95,1
259,240,36,93,0.387,10,32,0.313,13,18,0.722,14,46,60,21,8,11,13,17,95,1
